externalid,segid,year,AADT
3601,1082_000.0,2023,817.0
3601,1082_000.0,2022,783.0
3601,1082_000.0,2021,792.0
3601,1082_000.0,2020,739.0
3601,1082_000.0,2019,740.0
3601,1082_000.0,2018,731.0
3601,1082_000.0,2017,703.0
3601,1082_000.0,2016,685.0
3601,1082_000.0,2015,655.0
3601,1082_000.0,2014,615.0
3601,1082_000.0,2013,605.0
3601,1082_000.0,2012,585.0
3601,1082_000.0,2011,510.0
3601,1082_000.0,2010,515.0
3601,1082_000.0,2009,505.0
3601,1082_000.0,2008,495.0
3601,1082_000.0,2007,510.0
3601,1082_000.0,2006,505.0
3601,1082_000.0,2005,465.0
3601,1082_000.0,2004,450.0
3601,1082_000.0,2003,428.0
3602,0013_006.5,2023,10884.0
3602,0013_006.5,2022,10435.0
3602,0013_006.5,2021,10551.0
3602,0013_006.5,2020,9842.0
3602,0013_006.5,2019,9852.0
3602,0013_006.5,2018,9735.0
3602,0013_006.5,2017,9361.0
3602,0013_006.5,2016,9124.0
3602,0013_006.5,2015,8700.0
3602,0013_006.5,2014,8215.0
3602,0013_006.5,2013,8085.0
3602,0013_006.5,2012,7820.0
3602,0013_006.5,2011,6590.0
3602,0013_006.5,2010,6885.0
3602,0013_006.5,2009,6760.0
3602,0013_006.5,2008,6640.0
3602,0013_006.5,2007,6815.0
3602,0013_006.5,2006,6775.0
3602,0013_006.5,2005,5920.0
3602,0013_006.5,2004,5735.0
3602,0013_006.5,2003,5485.0
3602,0013_006.5,2002,5585.0
3602,0013_006.5,2001,8445.0
3602,0013_006.5,2000,8363.0
3602,0013_006.5,1999,7965.0
3602,0013_006.5,1998,7690.0
3602,0013_006.5,1997,7485.0
3602,0013_006.5,1996,7200.0
3602,0013_006.5,1995,7200.0
3602,0013_006.5,1994,7520.0
3602,0013_006.5,1993,7525.0
3602,0013_006.5,1992,7085.0
3602,0013_006.5,1991,7085.0
3602,0013_006.5,1990,3700.0
3602,0013_006.5,1989,3980.0
3602,0013_006.5,1988,3930.0
3602,0013_006.5,1987,3920.0
3602,0013_006.5,1986,3910.0
3602,0013_006.5,1985,3900.0
3602,0013_006.5,1984,3850.0
3602,0013_006.5,1983,3775.0
3602,0013_006.5,1982,3735.0
3602,0013_006.5,1981,3735.0
3603,1112_000.0,2023,1450.0
3603,1112_000.0,2022,1430.0
3603,1112_000.0,2021,1416.0
3603,1112_000.0,2020,1306.0
3603,1112_000.0,2019,1462.0
3603,1112_000.0,2018,1436.0
3603,1112_000.0,2017,1422.0
3603,1112_000.0,2016,1098.0
3603,1112_000.0,2015,1045.0
3603,1112_000.0,2014,1000.0
3604,0015_368.1,2023,30060.0
3604,0015_368.1,2022,29587.0
3604,0015_368.1,2021,29352.0
3604,0015_368.1,2020,26325.0
3604,0015_368.1,2019,28215.0
3604,0015_368.1,2018,27393.0
3604,0015_368.1,2017,26163.0
3604,0015_368.1,2016,25327.0
3604,0015_368.1,2015,25555.0
3604,0015_368.1,2014,23555.0
3604,0015_368.1,2013,23320.0
3604,0015_368.1,2012,23045.0
3604,0015_368.1,2011,21820.0
3604,0015_368.1,2010,24415.0
3604,0015_368.1,2009,24390.0
3604,0015_368.1,2008,22460.0
3604,0015_368.1,2007,22505.0
3604,0015_368.1,2006,22150.0
3604,0015_368.1,2005,20715.0
3604,0015_368.1,2004,23180.0
3604,0015_368.1,2003,23775.0
3604,0015_368.1,2002,25174.0
3604,0015_368.1,2001,24183.0
3604,0015_368.1,2000,23720.0
3604,0015_368.1,1999,22720.0
3604,0015_368.1,1998,21435.0
3604,0015_368.1,1997,20665.0
3604,0015_368.1,1996,20050.0
3604,0015_368.1,1995,19740.0
3604,0015_368.1,1994,17800.0
3604,0015_368.1,1993,15610.0
3604,0015_368.1,1992,14780.0
3604,0015_368.1,1991,14280.0
3604,0015_368.1,1990,13440.0
3604,0015_368.1,1989,13080.0
3604,0015_368.1,1987,9600.0
3604,0015_368.1,1986,9550.0
3604,0015_368.1,1985,9500.0
3604,0015_368.1,1984,9320.0
3604,0015_368.1,1983,8350.0
3604,0015_368.1,1982,8140.0
3604,0015_368.1,1981,8075.0
3605,0038_003.2,2023,3760.0
3605,0038_003.2,2022,3708.0
3605,0038_003.2,2021,3672.0
3605,0038_003.2,2020,3387.0
3605,0038_003.2,2019,3793.0
3605,0038_003.2,2018,3726.0
3605,0038_003.2,2017,3689.0
3605,0038_003.2,2016,2607.0
3605,0038_003.2,2015,2475.0
3605,0038_003.2,2014,2375.0
3605,0038_003.2,2013,2350.0
3605,0038_003.2,2012,2410.0
3605,0038_003.2,2011,2455.0
3605,0038_003.2,2010,2305.0
3605,0038_003.2,2009,2315.0
3605,0038_003.2,2008,2765.0
3605,0038_003.2,2007,2910.0
3605,0038_003.2,2006,2870.0
3605,0038_003.2,2005,2750.0
3605,0038_003.2,2004,2755.0
3605,0038_003.2,2003,2735.0
3605,0038_003.2,2002,2735.0
3605,0038_003.2,2001,4340.0
3605,0038_003.2,2000,4310.0
3605,0038_003.2,1999,4340.0
3605,0038_003.2,1998,4010.0
3605,0038_003.2,1997,3960.0
3605,0038_003.2,1996,3865.0
3605,0038_003.2,1995,3820.0
3605,0038_003.2,1994,3720.0
3605,0038_003.2,1993,3540.0
3605,0038_003.2,1992,2685.0
3605,0038_003.2,1991,2815.0
3605,0038_003.2,1990,2800.0
3605,0038_003.2,1989,2800.0
3605,0038_003.2,1987,1125.0
3605,0038_003.2,1986,1120.0
3605,0038_003.2,1985,1115.0
3605,0038_003.2,1984,1100.0
3605,0038_003.2,1983,1080.0
3605,0038_003.2,1982,1065.0
3605,0038_003.2,1981,1065.0
3606,0091_010.1,2023,21512.0
