externalid,segid,year,AADT
3606,0091_010.1,2022,21028.0
3606,0091_010.1,2021,20903.0
3606,0091_010.1,2020,18580.0
3606,0091_010.1,2019,19808.0
3606,0091_010.1,2018,19848.0
3606,0091_010.1,2017,19632.0
3606,0091_010.1,2016,19247.0
3606,0091_010.1,2015,18400.0
3606,0091_010.1,2014,17085.0
3606,0091_010.1,2013,16460.0
3606,0091_010.1,2012,16495.0
3606,0091_010.1,2011,16280.0
3606,0091_010.1,2010,16265.0
3606,0091_010.1,2009,15870.0
3606,0091_010.1,2008,15215.0
3606,0091_010.1,2007,15735.0
3606,0091_010.1,2006,14885.0
3606,0091_010.1,2005,14875.0
3606,0091_010.1,2004,16220.0
3606,0091_010.1,2003,15465.0
3606,0091_010.1,2002,15380.0
3606,0091_010.1,2001,14860.0
3606,0091_010.1,2000,14885.0
3606,0091_010.1,1999,14850.0
3606,0091_010.1,1998,14130.0
3606,0091_010.1,1997,13445.0
3606,0091_010.1,1996,12605.0
3606,0091_010.1,1995,13425.0
3606,0091_010.1,1994,12625.0
3606,0091_010.1,1993,10960.0
3606,0091_010.1,1992,10175.0
3606,0091_010.1,1991,9420.0
3606,0091_010.1,1990,8665.0
3606,0091_010.1,1989,8415.0
3606,0091_010.1,1988,8010.0
3606,0091_010.1,1987,7705.0
3606,0091_010.1,1986,6990.0
3606,0091_010.1,1985,6760.0
3606,0091_010.1,1984,6680.0
3606,0091_010.1,1983,6420.0
3606,0091_010.1,1982,6610.0
3606,0091_010.1,1981,6990.0
3607,3462_002.8,2023,2285.0
3607,3462_002.8,2022,2191.0
3607,3462_002.8,2021,2216.0
3607,3462_002.8,2020,2067.0
3607,3462_002.8,2019,2069.0
3607,3462_002.8,2018,2044.0
3607,3462_002.8,2017,1965.0
3607,3462_002.8,2016,1915.0
3607,3462_002.8,2015,1825.0
3607,3462_002.8,2014,1725.0
3607,3462_002.8,2013,1695.0
3607,3462_002.8,2012,1640.0
3607,3462_002.8,2011,1675.0
3607,3462_002.8,2010,1680.0
3607,3462_002.8,2009,1645.0
3607,3462_002.8,2008,1620.0
3607,3462_002.8,2007,1660.0
3607,3462_002.8,2006,955.0
3607,3462_002.8,2005,4960.0
3607,3462_002.8,2004,4975.0
3607,3462_002.8,2003,4760.0
3608,0039_008.7,2023,9260.0
3608,0039_008.7,2022,8878.0
3608,0039_008.7,2021,8463.0
3608,0039_008.7,2020,9563.0
3608,0039_008.7,2019,9056.0
3608,0039_008.7,2018,8936.0
3608,0039_008.7,2017,8640.0
3608,0039_008.7,2016,8393.0
3608,0039_008.7,2015,8005.0
3608,0039_008.7,2014,7605.0
3608,0039_008.7,2013,6110.0
3608,0039_008.7,2012,7340.0
3608,0039_008.7,2011,7910.0
3608,0039_008.7,2010,7785.0
3608,0039_008.7,2009,7920.0
3608,0039_008.7,2008,7850.0
3608,0039_008.7,2007,8065.0
3608,0039_008.7,2006,8220.0
3608,0039_008.7,2005,8090.0
3608,0039_008.7,2004,8510.0
3608,0039_008.7,2003,7795.0
3608,0039_008.7,2002,7350.0
3608,0039_008.7,2001,8305.0
3608,0039_008.7,2000,8320.0
3608,0039_008.7,1999,8385.0
3608,0039_008.7,1998,7935.0
3608,0039_008.7,1997,7435.0
3608,0039_008.7,1996,7550.0
3608,0039_008.7,1995,7325.0
3608,0039_008.7,1994,7365.0
3608,0039_008.7,1993,6745.0
3608,0039_008.7,1992,6420.0
3608,0039_008.7,1991,6075.0
3608,0039_008.7,1990,6035.0
3608,0039_008.7,1989,6505.0
3608,0039_008.7,1988,6510.0
3608,0039_008.7,1987,6450.0
3608,0039_008.7,1986,6000.0
3608,0039_008.7,1985,5780.0
3608,0039_008.7,1984,5665.0
3608,0039_008.7,1983,6310.0
3608,0039_008.7,1982,6215.0
3608,0039_008.7,1981,6195.0
3609,0084_087.8,2023,23758.0
3609,0084_087.8,2022,23111.0
3609,0084_087.8,2021,22416.0
3609,0084_087.8,2020,19408.0
3609,0084_087.8,2019,22567.0
3609,0084_087.8,2018,22146.0
3609,0084_087.8,2017,21564.0
3609,0084_087.8,2016,21120.0
3609,0084_087.8,2015,20075.0
3609,0084_087.8,2014,18995.0
3609,0084_087.8,2013,18440.0
3609,0084_087.8,2012,18115.0
3609,0084_087.8,2011,17845.0
3609,0084_087.8,2010,14560.0
3609,0084_087.8,2009,14300.0
3609,0084_087.8,2008,14200.0
3609,0084_087.8,2007,14780.0
3609,0084_087.8,2006,14560.0
3609,0084_087.8,2005,14145.0
3609,0084_087.8,2004,13855.0
3609,0084_087.8,2003,13742.0
3609,0084_087.8,2002,11420.0
3609,0084_087.8,2001,10967.0
3609,0084_087.8,2000,10405.0
3609,0084_087.8,1999,10200.0
3609,0084_087.8,1998,9274.0
3609,0084_087.8,1997,8430.0
3609,0084_087.8,1996,8165.0
3609,0084_087.8,1995,7940.0
3609,0084_087.8,1994,7440.0
3609,0084_087.8,1993,7065.0
3609,0084_087.8,1992,6185.0
3609,0084_087.8,1991,5850.0
3609,0084_087.8,1990,5530.0
3609,0084_087.8,1989,4640.0
3609,0084_087.8,1988,4990.0
3609,0084_087.8,1987,4820.0
3609,0084_087.8,1986,4620.0
3609,0084_087.8,1985,4420.0
3609,0084_087.8,1984,4080.0
3609,0084_087.8,1983,3800.0
3609,0084_087.8,1982,3800.0
3609,0084_087.8,1981,3690.0
3612,0080_099.5,2023,54543.0
3612,0080_099.5,2022,52345.0
3612,0080_099.5,2021,50969.0
3612,0080_099.5,2020,40780.0
3612,0080_099.5,2019,47419.0
3612,0080_099.5,2018,45412.0
3612,0080_099.5,2017,43939.0
3612,0080_099.5,2016,41740.0
3612,0080_099.5,2015,38770.0
3612,0080_099.5,2014,36490.0
3612,0080_099.5,2013,35150.0
3612,0080_099.5,2012,35060.0
3612,0080_099.5,2011,34690.0
3612,0080_099.5,2010,35205.0
3612,0080_099.5,2009,34595.0
3612,0080_099.5,2008,34180.0
3612,0080_099.5,2007,34020.0
3612,0080_099.5,2006,34865.0
3612,0080_099.5,2005,33685.0
3612,0080_099.5,2004,32600.0
3612,0080_099.5,2003,35084.0
3612,0080_099.5,2002,36170.0
3612,0080_099.5,2001,34175.0
3612,0080_099.5,2000,32990.0
3612,0080_099.5,1999,31600.0
3612,0080_099.5,1998,30470.0
3612,0080_099.5,1997,28316.0
3612,0080_099.5,1996,26365.0
3612,0080_099.5,1995,25335.0
3612,0080_099.5,1994,24015.0
3612,0080_099.5,1993,24415.0
3612,0080_099.5,1992,23065.0
3612,0080_099.5,1991,22300.0
3612,0080_099.5,1990,21860.0
3612,0080_099.5,1989,20725.0
3612,0080_099.5,1988,19580.0
3612,0080_099.5,1987,18200.0
3612,0080_099.5,1986,17880.0
3612,0080_099.5,1985,17585.0
3612,0080_099.5,1984,13760.0
3612,0080_099.5,1983,13550.0
3612,0080_099.5,1982,13500.0
3612,0080_099.5,1981,13500.0
3612,0080_101.5,2023,54543.0
3612,0080_101.5,2022,52345.0
3612,0080_101.5,2021,50969.0
3612,0080_101.5,2020,40780.0
3612,0080_101.5,2019,47419.0
3612,0080_101.5,2018,45412.0
3612,0080_101.5,2017,43939.0
3612,0080_101.5,2016,41740.0
3612,0080_101.5,2015,38770.0
3612,0080_101.5,2014,36490.0
3612,0080_101.5,2013,35150.0
3612,0080_101.5,2012,35060.0
3612,0080_101.5,2011,34690.0
3612,0080_101.5,2010,35205.0
3612,0080_101.5,2009,34595.0
3612,0080_101.5,2008,34180.0
3612,0080_101.5,2007,34020.0
3612,0080_101.5,2006,34865.0
3612,0080_101.5,2005,33685.0
3612,0080_101.5,2004,32600.0
3612,0080_101.5,2003,35084.0
3612,0080_101.5,2002,36170.0
3612,0080_101.5,2001,34175.0
3612,0080_101.5,2000,32990.0
3612,0080_101.5,1999,31600.0
3612,0080_101.5,1998,30470.0
3612,0080_101.5,1997,28316.0
3612,0080_101.5,1996,26365.0
3612,0080_101.5,1995,25335.0
3612,0080_101.5,1994,24015.0
3612,0080_101.5,1993,24415.0
3612,0080_101.5,1992,23065.0
3612,0080_101.5,1991,22300.0
3612,0080_101.5,1990,21860.0
3612,0080_101.5,1989,20725.0
3612,0080_101.5,1988,19580.0
3612,0080_101.5,1987,18200.0
3612,0080_101.5,1986,17880.0
3612,0080_101.5,1985,17585.0
3612,0080_101.5,1984,13760.0
3612,0080_101.5,1983,13550.0
3612,0080_101.5,1982,13500.0
3612,0080_101.5,1981,13500.0
3613,0065_008.4,2023,505.0
3613,0065_008.4,2022,489.0
3613,0065_008.4,2021,487.0
3613,0065_008.4,2020,463.0
3613,0065_008.4,2019,431.0
3613,0065_008.4,2018,436.0
3613,0065_008.4,2017,420.0
3613,0065_008.4,2016,406.0
3613,0065_008.4,2015,390.0
3613,0065_008.4,2014,520.0
3613,0065_008.4,2013,495.0
3613,0065_008.4,2012,485.0
3613,0065_008.4,2011,400.0
3613,0065_008.4,2010,385.0
3613,0065_008.4,2009,380.0
3613,0065_008.4,2008,815.0
3613,0065_008.4,2007,845.0
3613,0065_008.4,2006,800.0
3613,0065_008.4,2005,780.0
3613,0065_008.4,2004,765.0
3613,0065_008.4,2003,740.0
3613,0065_008.4,2002,745.0
3613,0065_008.4,2001,750.0
3613,0065_008.4,2000,725.0
3613,0065_008.4,1999,650.0
3613,0065_008.4,1998,625.0
3613,0065_008.4,1997,624.0
3613,0065_008.4,1996,600.0
3613,0065_008.4,1995,575.0
3613,0065_008.4,1994,575.0
3613,0065_008.4,1993,525.0
3613,0065_008.4,1992,570.0
3613,0065_008.4,1991,540.0
3613,0065_008.4,1990,535.0
3613,0065_008.4,1989,515.0
3613,0065_008.4,1987,185.0
3613,0065_008.4,1986,175.0
3613,0065_008.4,1985,175.0
3613,0065_008.4,1984,170.0
3613,0065_008.4,1983,105.0
3613,0065_008.4,1982,165.0
3613,0065_008.4,1981,160.0
3614,0080_138.9,2023,62569.0
3614,0080_138.9,2022,60570.0
3614,0080_138.9,2021,58920.0
3614,0080_138.9,2020,51639.0
3614,0080_138.9,2019,57377.0
3614,0080_138.9,2018,56753.0
3614,0080_138.9,2017,56924.0
3614,0080_138.9,2016,57557.0
3614,0080_138.9,2015,52950.0
3614,0080_138.9,2014,50380.0
3614,0080_138.9,2013,48165.0
3614,0080_138.9,2012,45870.0
3614,0080_138.9,2011,45460.0
3614,0080_138.9,2010,44405.0
3614,0080_138.9,2009,44450.0
3614,0080_138.9,2008,43865.0
3614,0080_138.9,2007,47890.0
3614,0080_138.9,2006,46135.0
3614,0080_138.9,2005,44690.0
3614,0080_138.9,2004,42789.0
3614,0080_138.9,2003,42156.0
3614,0080_138.9,2002,43966.0
3614,0080_138.9,2001,40485.0
3614,0080_138.9,2000,39425.0
3614,0080_138.9,1999,37764.0
3614,0080_138.9,1998,38773.0
3614,0080_138.9,1997,39165.0
3614,0080_138.9,1996,37190.0
3614,0080_138.9,1995,37050.0
3614,0080_138.9,1994,34085.0
3614,0080_138.9,1993,30745.0
3614,0080_138.9,1992,29480.0
3614,0080_138.9,1991,26900.0
3614,0080_138.9,1990,24630.0
3614,0080_138.9,1989,23810.0
3614,0080_138.9,1988,21380.0
3614,0080_138.9,1987,20620.0
3614,0080_138.9,1986,19800.0
3614,0080_138.9,1985,20165.0
3614,0080_138.9,1984,18995.0
3614,0080_138.9,1983,18260.0
3614,0080_138.9,1982,18190.0
3614,0080_138.9,1981,17600.0
3615,0190_015.75,2023,2821.0
3615,0190_015.75,2022,2804.0
3615,0190_015.75,2021,2688.0
3615,0190_015.75,2020,2638.0
3615,0190_015.75,2019,2213.0
3615,0190_015.75,2018,1976.0
3615,0190_015.75,2017,1920.0
3615,0190_015.75,2016,1892.0
3615,0190_015.75,2015,1735.0
3615,0190_015.75,2014,1510.0
3615,0190_015.75,2013,1400.0
3615,0190_015.75,2012,2245.0
3615,0190_015.75,2011,2130.0
3615,0190_015.75,2010,2265.0
3615,0190_015.75,2009,2240.0
3615,0190_015.75,2008,2240.0
3615,0190_015.75,2007,2360.0
3615,0190_015.75,2006,2535.0
3615,0190_015.75,2005,2325.0
3615,0190_015.75,2004,2290.0
3615,0190_015.75,2003,4675.0
3615,0190_015.75,2002,4610.0
3615,0190_015.75,2001,4855.0
3615,0190_015.75,2000,5075.0
3615,0190_015.75,1999,4965.0
3615,0190_015.75,1998,4929.0
3615,0190_015.75,1997,5030.0
3615,0190_015.75,1996,5220.0
3615,0190_015.75,1995,4940.0
3615,0190_015.75,1994,4960.0
3615,0190_015.75,1993,4510.0
3615,0190_015.75,1992,4440.0
3615,0190_015.75,1991,4190.0
3615,0190_015.75,1990,3880.0
3615,0190_015.75,1989,3700.0
3615,0190_015.75,1988,4250.0
3615,0190_015.75,1987,3700.0
3616,1828_004.5,2023,574.0
3616,1828_004.5,2022,550.0
3616,1828_004.5,2021,556.0
3616,1828_004.5,2020,519.0
3616,1828_004.5,2019,520.0
3616,1828_004.5,2018,514.0
3616,1828_004.5,2017,494.0
3616,1828_004.5,2016,481.0
3616,1828_004.5,2015,460.0
3616,1828_004.5,2014,435.0
3616,1828_004.5,2013,425.0
3616,1828_004.5,2012,410.0
3616,1828_004.5,2011,420.0
3616,1828_004.5,2010,420.0
3616,1828_004.5,2009,415.0
3616,1828_004.5,2008,405.0
3616,1828_004.5,2007,415.0
3616,1828_004.5,2006,415.0
3616,1828_004.5,2005,560.0
3616,1828_004.5,2004,540.0
3616,1828_004.5,2003,516.0
3617,0006_140.3,2023,1567.0
3617,0006_140.3,2022,1502.0
3617,0006_140.3,2021,1519.0
3617,0006_140.3,2020,1417.0
3617,0006_140.3,2019,1418.0
3617,0006_140.3,2018,1401.0
3617,0006_140.3,2017,1347.0
3617,0006_140.3,2016,1313.0
3617,0006_140.3,2015,1250.0
3617,0006_140.3,2014,1180.0
3617,0006_140.3,2013,1165.0
3617,0006_140.3,2012,1125.0
3617,0006_140.3,2011,1125.0
3617,0006_140.3,2010,730.0
3617,0006_140.3,2009,720.0
3617,0006_140.3,2008,705.0
3617,0006_140.3,2007,725.0
3617,0006_140.3,2006,720.0
3617,0006_140.3,2005,710.0
3617,0006_140.3,2004,1095.0
3617,0006_140.3,2003,1113.0
3617,0006_140.3,2002,2760.0
3617,0006_140.3,2001,2665.0
3617,0006_140.3,2000,2563.0
3617,0006_140.3,1999,2330.0
3617,0006_140.3,1998,2125.0
3617,0006_140.3,1997,2065.0
3617,0006_140.3,1996,2035.0
3617,0006_140.3,1995,1980.0
3617,0006_140.3,1994,1765.0
3617,0006_140.3,1993,1660.0
3617,0006_140.3,1992,1640.0
3617,0006_140.3,1991,1600.0
3617,0006_140.3,1990,1480.0
3617,0006_140.3,1989,1440.0
3617,0006_140.3,1988,1450.0
3617,0006_140.3,1987,1340.0
3617,0006_140.3,1986,1620.0
3617,0006_140.3,1985,1900.0
3617,0006_140.3,1984,1800.0
3617,0006_140.3,1983,1150.0
3617,0006_140.3,1982,1010.0
3617,0006_140.3,1981,1080.0
3618,0073_015.5,2023,2096.0
3618,0073_015.5,2022,2010.0
3618,0073_015.5,2021,2033.0
3618,0073_015.5,2020,1896.0
3618,0073_015.5,2019,1898.0
3618,0073_015.5,2018,1875.0
3618,0073_015.5,2017,1803.0
3618,0073_015.5,2016,1757.0
3618,0073_015.5,2015,1675.0
3618,0073_015.5,2014,1580.0
3618,0073_015.5,2013,1555.0
3618,0073_015.5,2012,1505.0
3618,0073_015.5,2011,1535.0
3618,0073_015.5,2010,1540.0
3618,0073_015.5,2009,1510.0
3618,0073_015.5,2008,1485.0
3618,0073_015.5,2007,1525.0
3618,0073_015.5,2006,1915.0
3618,0073_015.5,2005,1765.0
3618,0073_015.5,2004,1710.0
3618,0073_015.5,2003,945.0
3618,0073_015.5,2002,960.0
3618,0073_015.5,2001,1065.0
3618,0073_015.5,2000,1055.0
3618,0073_015.5,1999,1065.0
3618,0073_015.5,1998,1025.0
3618,0073_015.5,1997,720.0
3618,0073_015.5,1996,690.0
3618,0073_015.5,1995,690.0
3618,0073_015.5,1994,680.0
3618,0073_015.5,1993,935.0
3618,0073_015.5,1992,900.0
3618,0073_015.5,1991,565.0
3618,0073_015.5,1990,560.0
3618,0073_015.5,1989,410.0
3618,0073_015.5,1988,405.0
3618,0073_015.5,1987,450.0
3618,0073_015.5,1986,445.0
3618,0073_015.5,1985,440.0
3618,0073_015.5,1984,430.0
3618,0073_015.5,1983,425.0
3618,0073_015.5,1982,420.0
3618,0073_015.5,1981,410.0
3620,0189_014.3,2023,13521.0
3620,0189_014.3,2022,13178.0
3620,0189_014.3,2021,12984.0
3620,0189_014.3,2020,11490.0
3620,0189_014.3,2019,12044.0
3620,0189_014.3,2018,11785.0
3620,0189_014.3,2017,11691.0
3620,0189_014.3,2016,11318.0
3620,0189_014.3,2015,10770.0
3620,0189_014.3,2014,10285.0
3620,0189_014.3,2013,9835.0
3620,0189_014.3,2012,9620.0
3620,0189_014.3,2011,9535.0
3620,0189_014.3,2010,9800.0
3620,0189_014.3,2009,9720.0
3620,0189_014.3,2008,9580.0
3620,0189_014.3,2007,10025.0
3620,0189_014.3,2006,9575.0
3620,0189_014.3,2005,9330.0
3620,0189_014.3,2004,9070.0
3620,0189_014.3,2003,8716.0
3620,0189_014.3,2002,8805.0
3620,0189_014.3,2001,8475.0
3620,0189_014.3,2000,8385.0
3620,0189_014.3,1999,8365.0
3620,0189_014.3,1998,7730.0
3620,0189_014.3,1997,7580.0
3620,0189_014.3,1996,7775.0
3620,0189_014.3,1995,7335.0
3620,0189_014.3,1994,7100.0
3620,0189_014.3,1993,6175.0
3620,0189_014.3,1992,5810.0
3620,0189_014.3,1991,5490.0
3620,0189_014.3,1990,6110.0
3620,0189_014.3,1989,5825.0
3620,0189_014.3,1987,5025.0
3620,0189_014.3,1986,4610.0
3620,0189_014.3,1985,4580.0
3620,0189_014.3,1984,4730.0
3620,0189_014.3,1983,4710.0
3620,0189_014.3,1982,4560.0
3620,0189_014.3,1981,4465.0
3623,0006_216.2,2023,10741.0
3623,0006_216.2,2022,10469.0
3623,0006_216.2,2021,9923.0
3623,0006_216.2,2020,9205.0
3623,0006_216.2,2019,9214.0
3623,0006_216.2,2018,9024.0
3623,0006_216.2,2017,9024.0
3623,0006_216.2,2016,8677.0
3623,0006_216.2,2015,8130.0
3623,0006_216.2,2014,7510.0
3623,0006_216.2,2013,7220.0
3623,0006_216.2,2012,7025.0
3623,0006_216.2,2011,7010.0
3623,0006_216.2,2010,7145.0
3623,0006_216.2,2009,6835.0
3623,0006_216.2,2008,6610.0
3623,0006_216.2,2007,6885.0
3623,0006_216.2,2006,6675.0
3623,0006_216.2,2005,6810.0
3623,0006_216.2,2004,6395.0
3623,0006_216.2,2003,6669.0
3623,0006_216.2,2002,6855.0
3623,0006_216.2,2001,6600.0
3623,0006_216.2,2000,6530.0
3623,0006_216.2,1999,6510.0
3623,0006_216.2,1998,6285.0
3623,0006_216.2,1997,6000.0
3623,0006_216.2,1996,5765.0
3623,0006_216.2,1995,5775.0
3623,0006_216.2,1994,5510.0
3623,0006_216.2,1993,5085.0
3623,0006_216.2,1992,4785.0
3623,0006_216.2,1991,4520.0
3623,0006_216.2,1990,4710.0
3623,0006_216.2,1989,4400.0
3623,0006_216.2,1988,4250.0
3623,0006_216.2,1987,4025.0
3623,0006_216.2,1986,3725.0
3623,0006_216.2,1985,3425.0
3623,0006_216.2,1984,4025.0
3623,0006_216.2,1983,480.0
3623,0006_216.2,1982,4450.0
3623,0006_216.2,1981,4300.0
3624,0096_006.2,2023,1939.0
3624,0096_006.2,2022,1872.0
3624,0096_006.2,2021,2013.0
3624,0096_006.2,2020,1826.0
3624,0096_006.2,2019,1764.0
3624,0096_006.2,2018,1750.0
3624,0096_006.2,2017,1738.0
3624,0096_006.2,2016,341.0
3624,0096_006.2,2015,320.0
3624,0096_006.2,2014,300.0
3624,0096_006.2,2013,280.0
3624,0096_006.2,2012,280.0
3624,0096_006.2,2011,280.0
3624,0096_006.2,2010,290.0
3624,0096_006.2,2009,295.0
3624,0096_006.2,2008,280.0
3624,0096_006.2,2007,300.0
3624,0096_006.2,2006,285.0
3624,0096_006.2,2005,610.0
3624,0096_006.2,2004,605.0
3624,0096_006.2,2003,1078.0
3624,0096_006.2,2002,1095.0
3624,0096_006.2,2001,755.0
3624,0096_006.2,2000,740.0
3624,0096_006.2,1999,740.0
3624,0096_006.2,1998,690.0
3624,0096_006.2,1997,659.0
3624,0096_006.2,1996,635.0
3624,0096_006.2,1995,610.0
3624,0096_006.2,1994,575.0
3624,0096_006.2,1993,525.0
3624,0096_006.2,1992,515.0
3624,0096_006.2,1991,475.0
3624,0096_006.2,1990,470.0
3624,0096_006.2,1989,450.0
3624,0096_006.2,1987,550.0
3624,0096_006.2,1986,550.0
3624,0096_006.2,1985,550.0
3624,0096_006.2,1984,550.0
3624,0096_006.2,1983,375.0
3624,0096_006.2,1982,515.0
3624,0096_006.2,1981,500.0
3626,0089_296.0,2023,3547.0
3626,0089_296.0,2022,3457.0
3626,0089_296.0,2021,3366.0
3626,0089_296.0,2020,3210.0
3626,0089_296.0,2019,3000.0
3626,0089_296.0,2018,2971.0
3626,0089_296.0,2017,2897.0
3626,0089_296.0,2016,2806.0
3626,0089_296.0,2015,2625.0
3626,0089_296.0,2014,2425.0
3626,0089_296.0,2013,2420.0
3626,0089_296.0,2012,2340.0
3626,0089_296.0,2011,2345.0
3626,0089_296.0,2010,2360.0
3626,0089_296.0,2009,2435.0
3626,0089_296.0,2008,2305.0
3626,0089_296.0,2007,2060.0
3626,0089_296.0,2006,2835.0
3626,0089_296.0,2005,2615.0
3626,0089_296.0,2004,2535.0
3626,0089_296.0,2003,2425.0
3626,0089_296.0,2002,2410.0
3626,0089_296.0,2001,2470.0
3626,0089_296.0,2000,2525.0
3626,0089_296.0,1999,2675.0
3626,0089_296.0,1998,2430.0
3626,0089_296.0,1997,2155.0
3626,0089_296.0,1996,2060.0
3626,0089_296.0,1995,1980.0
3626,0089_296.0,1994,1800.0
3626,0089_296.0,1993,1595.0
3626,0089_296.0,1992,1515.0
3626,0089_296.0,1991,1500.0
3626,0089_296.0,1990,1480.0
