externalid,year,AADT
3612,1986,17880
3612,1987,18200
3612,1988,19580
3612,1989,20725
3612,1990,21860
3612,1991,22300
3612,1992,23065
3612,1993,24415
3612,1994,24015
3612,1995,25335
3612,1996,26365
3612,1997,28316
3612,1998,30470
3612,1999,31600
3612,2000,32990
3612,2001,34175
3612,2002,36170
3612,2003,35084
3612,2004,32600
3612,2005,33685
3612,2006,34865
3612,2007,34020
3612,2008,34180
3612,2009,34595
3612,2010,35205
3612,2011,34690
3612,2012,35060
3612,2013,35150
3612,2014,36490
3612,2015,38770
3612,2016,41740
3612,2017,43939
3612,2018,45412
3612,2019,47419
3612,2020,40780
3612,2021,50969
3612,2022,52345
3612,2023,54543
3613,1981,160
3613,1982,165
3613,1983,105
3613,1984,170
3613,1985,175
3613,1986,175
3613,1987,185
3613,1989,515
3613,1990,535
3613,1991,540
3613,1992,570
3613,1993,525
3613,1994,575
3613,1995,575
3613,1996,600
3613,1997,624
3613,1998,625
3613,1999,650
3613,2000,725
3613,2001,750
3613,2002,745
3613,2003,740
3613,2004,765
3613,2005,780
3613,2006,800
3613,2007,845
3613,2008,815
3613,2009,380
3613,2010,385
3613,2011,400
3613,2012,485
3613,2013,495
3613,2014,520
3613,2015,390
3613,2016,406
3613,2017,420
3613,2018,436
3613,2019,431
3613,2020,463
3613,2021,487
3613,2022,489
3613,2023,505
3614,1981,17600
3614,1982,18190
3614,1983,18260
3614,1984,18995
3614,1985,20165
3614,1986,19800
3614,1987,20620
3614,1988,21380
3614,1989,23810
3614,1990,24630
3614,1991,26900
3614,1992,29480
3614,1993,30745
3614,1994,34085
3614,1995,37050
3614,1996,37190
3614,1997,39165
3614,1998,38773
3614,1999,37764
3614,2000,39425
3614,2001,40485
3614,2002,43966
3614,2003,42156
3614,2004,42789
3614,2005,44690
3614,2006,46135
3614,2007,47890
3614,2008,43865
3614,2009,44450
3614,2010,44405
3614,2011,45460
3614,2012,45870
3614,2013,48165
3614,2014,50380
3614,2015,52950
3614,2016,57557
3614,2017,56924
3614,2018,56753
3614,2019,57377
3614,2020,51639
3614,2021,58920
3614,2022,60570
3614,2023,62569
3615,1987,3700
3615,1988,4250
3615,1989,3700
3615,1990,3880
3615,1991,4190
3615,1992,4440
3615,1993,4510
3615,1994,4960
3615,1995,4940
3615,1996,5220
3615,1997,5030
3615,1998,4929
3615,1999,4965
3615,2000,5075
3615,2001,4855
3615,2002,4610
3615,2003,4675
3615,2004,2290
3615,2005,2325
3615,2006,2535
3615,2007,2360
3615,2008,2240
3615,2009,2240
3615,2010,2265
3615,2011,2130
3615,2012,2245
3615,2013,1400
3615,2014,1510
3615,2015,1735
3615,2016,1892
3615,2017,1920
3615,2018,1976
3615,2019,2213
3615,2020,2638
3615,2021,2688
3615,2022,2804
3615,2023,2821
3616,2003,516
3616,2004,540
3616,2005,560
3616,2006,415
3616,2007,415
3616,2008,405
3616,2009,415
3616,2010,420
3616,2011,420
3616,2012,410
3616,2013,425
3616,2014,435
3616,2015,460
3616,2016,481
3616,2017,494
3616,2018,514
3616,2019,520
3616,2020,519
3616,2021,556
3616,2022,550
3616,2023,574
3617,1981,1080
3617,1982,1010
3617,1983,1150
3617,1984,1800
3617,1985,1900
3617,1986,1620
3617,1987,1340
3617,1988,1450
3617,1989,1440
3617,1990,1480
3617,1991,1600
3617,1992,1640
3617,1993,1660
3617,1994,1765
3617,1995,1980
3617,1996,2035
3617,1997,2065
3617,1998,2125
3617,1999,2330
3617,2000,2563
3617,2001,2665
3617,2002,2760
3617,2003,1113
3617,2004,1095
3617,2005,710
3617,2006,720
3617,2007,725
3617,2008,705
3617,2009,720
3617,2010,730
3617,2011,1125
3617,2012,1125
3617,2013,1165
3617,2014,1180
3617,2015,1250
3617,2016,1313
3617,2017,1347
3617,2018,1401
3617,2019,1418
3617,2020,1417
3617,2021,1519
3617,2022,1502
3617,2023,1567
3618,1981,410
3618,1982,420
3618,1983,425
3618,1984,430
3618,1985,440
3618,1986,445
3618,1987,450
3618,1988,405
3618,1989,410
3618,1990,560
3618,1991,565
3618,1992,900
3618,1993,935
3618,1994,680
3618,1995,690
3618,1996,690
3618,1997,720
3618,1998,1025
3618,1999,1065
3618,2000,1055
3618,2001,1065
3618,2002,960
3618,2003,945
3618,2004,1710
3618,2005,1765
3618,2006,1915
3618,2007,1525
3618,2008,1485
3618,2009,1510
3618,2010,1540
3618,2011,1535
3618,2012,1505
3618,2013,1555
3618,2014,1580
3618,2015,1675
3618,2016,1757
3618,2017,1803
3618,2018,1875
3618,2019,1898
3618,2020,1896
3618,2021,2033
3618,2022,2010
3618,2023,2096
3620,1981,5450
3620,1982,5565
3620,1983,5715
3620,1984,5750
3620,1985,5570
3620,1986,5635
3620,1987,6155
3620,1988,6480
3620,1989,6645
3620,1990,6950
3620,1991,7190
3620,1992,7775
3620,1993,8175
3620,1994,8840
3620,1995,9135
3620,1996,9990
3620,1997,9630
3620,1998,9918
3620,1999,10592
3620,2000,11460
3620,2001,12160
3620,2002,11670
3620,2003,11565
3620,2004,11625
3620,2005,13140
3620,2006,11920
3620,2007,12490
3620,2008,12610
3620,2009,12825
3620,2010,12965
3620,2011,12725
3620,2012,12220
3620,2013,13500
3620,2014,14700
3620,2015,15970
3620,2016,17227
3620,2017,17686
3620,2018,18280
3620,2019,18730
3620,2020,18730
3620,2021,20825
3620,2022,20950
3620,2023,22731
3623,1981,4300
3623,1982,4450
3623,1983,480
3623,1984,4025
3623,1985,3425
3623,1986,3725
3623,1987,4025
3623,1988,4250
3623,1989,4400
3623,1990,4710
3623,1991,4520
3623,1992,4785
3623,1993,5085
3623,1994,5510
3623,1995,5775
3623,1996,5765
3623,1997,6000
3623,1998,6285
3623,1999,6510
3623,2000,6530
