externalid,x_utm12n,y_utm12n,name,lon,lat
3601,406524.8528,4594070.705,FAR 1082 Bird Refuge,-112.11982940617648,41.49280522250496
3602,408453.4307,4600068.559,SR 13/83 to Corinne,-112.09764165086466,41.54704311232984
3603,409683.8928,4605377.409,FAR 1112 to Bear River,-112.08368981046104,41.59499304609158
3604,410186.3675,4605719.265,I-15 to Tremonton,-112.07771293754715,41.59812836809494
3605,411964.9509,4606407.163,SR 38 to Riverside,-112.05647551366694,41.60452147799429
3606,420239.8401,4599405.684,SR 91 to Logan,-111.9562551733454,41.54233522026008
3607,424733.2856,4574739.185,FAR 3462 N Ogden Pass,-111.89931776212784,41.32061307555558
3608,425046.0451,4566199.109,SR 39 Ogden Canyon,-111.89453017804158,41.24372435142296
3609,428109.5944,4554481.744,I-84 to Summit,-111.85659575962111,41.138465105315014
3610,400197.86,4482205.87,FAR 2688 Butterfield Cyn,-112.17754746238079,40.48455169187592
3611,396177.8747,4508336.354,SR 201 to Tooele,-112.22927298396658,40.7194105962117
3612,396033.7063,4508465.144,I-80 to Tooele,-112.23100096110434,40.72055236646003
3613,444847.02,4519899.54,SR 65 Mountain Dell Canyon,-111.65409359172519,40.82827020678137
3614,446527.4751,4511162.149,I-80 East Parley's,-111.63341685026913,40.74967490275477
3615,452929.8775,4495467.559,SR 190 Guardsman Pass,-111.5564030762596,40.60868438994484
3616,423978.5127,4417024.613,FAR 1828 Goshen Canyon,-111.88929790864226,39.89989068512185
3617,405677.553,4423762.836,US 6 Eureka,-112.1043234247636,39.958751101975174
3618,399771.1769,4454147.557,SR 73 Rush Valley,-112.17817279447056,40.231769872895576
3619,448306.2685,4475860.881,FAR 3108 Cascade Springs,-111.60945298068948,40.43178184324962
3620,452900.1257,4468684.996,SR 189 Provo Canyon,-111.55476446633493,40.3674088690855
3621,480767.8763,4444202.973,FAR 2865 Sixth Water/Horse,-111.22579480426006,40.147950967044835
3622,479617.1903,4431715.157,FAR 2863 Sheep Creek,-111.23891061608305,40.03541384303745
3623,503919.8825,4408623.963,US 6 Price Canyon,-110.95419305533231,39.82760152281716
3624,488463.0604,4407629.226,SR 96 Scofield,-111.13480064506099,39.818569602931994
3625,469431.4982,4406820.008,FAR 2495 Skyline Dr,-111.35712989981646,39.81080719600107
3626,456707.0883,4406838.873,US 89 Thistle,-111.50578498060088,39.81042441554356
3627,440462.2144,4406990.955,FAR 1822 Nebo Loop,-111.69557398977656,39.81081216565364
3628,430642.5256,4421230.639,I-15 to Juab,-111.81179747451937,39.93835443777545
3629,430640.4098,4421368.221,FAR 1826 South Ridge Farms,-111.81183688422874,39.939593739465
