externalid,year,previous_forecast
3601,2030,940
3601,2040,1140
3601,2050,1340
3601,2060,1530
3602,2030,10740
3602,2040,11900
3602,2050,13060
3602,2060,14230
3603,2030,1680
3603,2040,1880
3603,2050,2080
3603,2060,2280
3604,2030,33020
3604,2040,37650
3604,2050,42280
3604,2060,46920
3605,2030,4360
3605,2040,4880
3605,2050,5400
3605,2060,5920
3606,2030,23540
3606,2040,26870
3606,2050,30190
3606,2060,33520
3607,2030,2460
3607,2040,2830
3607,2050,3200
3607,2060,3570
3608,2030,9720
3608,2040,10240
3608,2050,10810
3608,2060,11380
3609,2030,29080
3609,2040,34350
3609,2050,39610
3609,2060,44780
3610,2030,100
3610,2040,150
3610,2050,150
3610,2060,200
3611,2030,5720
3611,2040,6920
3611,2050,7530
3611,2060,8200
3612,2030,50850
3612,2040,56670
3612,2050,63080
3612,2060,69940
3613,2030,560
3613,2040,670
3613,2050,790
3613,2060,900
3614,2030,68330
3614,2040,78420
3614,2050,88500
3614,2060,98590
3615,2030,520
3615,2040,580
3615,2050,640
3615,2060,700
3616,2030,340
3616,2040,380
3616,2050,420
3616,2060,460
3617,2030,2090
3617,2040,2360
3617,2050,2650
3617,2060,2950
3618,2030,2410
3618,2040,2850
3618,2050,3290
3618,2060,3730
3619,2030,450
3619,2040,500
3619,2050,550
3619,2060,600
3620,2030,14070
3620,2040,16020
3620,2050,18030
3620,2060,20040
3621,2030,350
3621,2040,400
3621,2050,400
3621,2060,450
3622,2030,150
3622,2040,150
3622,2050,200
3622,2060,200
3623,2030,8810
3623,2040,9400
3623,2050,9990
3623,2060,10580
3624,2030,2010
3624,2040,2150
3624,2050,2290
3624,2060,2430
3625,2030,150
3625,2040,150
3625,2050,200
3625,2060,200
3626,2030,3560
3626,2040,4120
3626,2050,4680
3626,2060,5250
3627,2030,350
3627,2040,400
3627,2050,400
3627,2060,450
3628,2030,34940
3628,2040,41380
3628,2050,47820
3628,2060,54260
3629,2030,2180
3629,2040,2670
3629,2050,3170
3629,2060,3660
