;Idx_WF,WF_Ext,Year,AWDT,PASS_VOL,TRUCK_MD,TRUCK_HV,AWDT_FAC,AADT,PASSENGER,TRUCK_SU,TRUCK_MU,PctTrk_SU,PctTrk_MU
36012010,3601,2010,492,321,105,66,0.956,515,336,110,69,0.214,0.135
36012011,3601,2011,487,317,104,66,0.956,510,332,109,69,0.214,0.135
36012012,3601,2012,558,364,119,75,0.956,585,381,125,79,0.214,0.135
36012013,3601,2013,577,377,123,77,0.956,605,395,129,81,0.214,0.135
36012014,3601,2014,587,382,126,79,0.956,615,400,132,83,0.214,0.135
36012015,3601,2015,626,408,134,84,0.956,655,427,140,88,0.214,0.135
36012016,3601,2016,654,426,140,88,0.956,685,446,147,92,0.214,0.135
36012017,3601,2017,672,438,143,91,0.956,703,458,150,95,0.214,0.135
36012018,3601,2018,699,456,149,94,0.956,731,477,156,98,0.214,0.135
36012019,3601,2019,708,461,151,96,0.956,740,482,158,100,0.214,0.135
36012020,3601,2020,717,467,153,97,0.956,750,489,160,101,0.214,0.135
36012021,3601,2021,735,479,157,99,0.956,769,501,164,104,0.214,0.135
36012022,3601,2022,752,490,161,101,0.956,788,513,169,106,0.214,0.135
36012023,3601,2023,771,502,165,104,0.956,807,525,173,109,0.214,0.135
36012024,3601,2024,789,514,169,106,0.956,826,538,177,111,0.214,0.135
36012025,3601,2025,808,526,173,109,0.956,845,550,181,114,0.214,0.135
36012026,3601,2026,826,538,177,111,0.956,864,563,185,116,0.214,0.135
36012027,3601,2027,844,549,181,114,0.956,883,575,189,119,0.214,0.135
36012028,3601,2028,862,562,184,116,0.956,902,588,193,121,0.214,0.135
36012029,3601,2029,879,573,188,118,0.956,921,600,197,124,0.214,0.135
36012030,3601,2030,898,585,192,121,0.956,940,612,201,127,0.214,0.135
36012031,3601,2031,917,598,196,123,0.956,960,626,205,129,0.214,0.135
36012032,3601,2032,937,610,201,126,0.956,980,638,210,132,0.214,0.135
36012033,3601,2033,955,622,204,129,0.956,1000,651,214,135,0.214,0.135
36012034,3601,2034,974,635,208,131,0.956,1020,665,218,137,0.214,0.135
36012035,3601,2035,994,648,212,134,0.956,1040,678,222,140,0.214,0.135
36012036,3601,2036,1013,659,217,137,0.956,1060,690,227,143,0.214,0.135
36012037,3601,2037,1033,673,221,139,0.956,1080,704,231,145,0.214,0.135
36012038,3601,2038,1051,685,225,141,0.956,1100,717,235,148,0.214,0.135
36012039,3601,2039,1070,697,229,144,0.956,1120,729,240,151,0.214,0.135
36012040,3601,2040,1089,710,233,146,0.956,1140,743,244,153,0.214,0.135
36012041,3601,2041,1108,722,237,149,0.956,1160,756,248,156,0.214,0.135
36012042,3601,2042,1128,735,241,152,0.956,1180,769,252,159,0.214,0.135
36012043,3601,2043,1147,746,246,155,0.956,1200,781,257,162,0.214,0.135
36012044,3601,2044,1166,760,249,157,0.956,1220,795,261,164,0.214,0.135
