externalid,segid
3601,1082_000.0
3602,0013_006.5
3603,1112_000.0
3604,0015_368.1
3605,0038_003.2
3606,0091_010.1
3607,3462_002.8
3608,0039_008.7
3609,0084_087.8
3610,2688_005.5
3612,0080_099.5
3612,0080_101.5
3613,0065_008.4
3614,0080_138.9
3615,0190_015.75
3616,1828_004.5
3617,0006_140.3
3618,0073_015.5
3619,3108_000.0
3620,0189_014.3
3621,2865_019.4
3622,2863_000.0
3623,0006_216.2
3624,0096_006.2
3625,2495_000.0
3626,0089_296.0
3627,1822_000.0
3628,0015_233.2
3629,1826_004.9
