;Idx_WF,WF_Ext,Year,AWDT,PASS_VOL,TRUCK_MD,TRUCK_HV,AWDT_FAC,AADT,PASSENGER,TRUCK_SU,TRUCK_MU,PctTrk_SU,PctTrk_MU
36012010,3601,2010,492,360,66,66,0.956,515,377,69,69,0.135,0.135
36012011,3601,2011,487,355,66,66,0.956,510,372,69,69,0.135,0.135
36012012,3601,2012,558,408,75,75,0.956,585,427,79,79,0.135,0.135
36012013,3601,2013,577,423,77,77,0.956,605,443,81,81,0.135,0.135
36012014,3601,2014,587,429,79,79,0.956,615,449,83,83,0.135,0.135
36012015,3601,2015,626,458,84,84,0.956,655,479,88,88,0.135,0.135
36012016,3601,2016,655,479,88,88,0.956,685,501,92,92,0.135,0.135
36012017,3601,2017,672,490,91,91,0.956,703,513,95,95,0.135,0.135
36012018,3601,2018,699,511,94,94,0.956,731,535,98,98,0.135,0.135
36012019,3601,2019,708,516,96,96,0.956,740,540,100,100,0.135,0.135
36012020,3601,2020,718,524,97,97,0.956,750,548,101,101,0.135,0.135
36012021,3601,2021,734,536,99,99,0.956,769,561,104,104,0.135,0.135
36012022,3601,2022,752,550,101,101,0.956,788,576,106,106,0.135,0.135
36012023,3601,2023,771,563,104,104,0.956,807,589,109,109,0.135,0.135
36012024,3601,2024,789,577,106,106,0.956,826,604,111,111,0.135,0.135
36012025,3601,2025,808,590,109,109,0.956,845,617,114,114,0.135,0.135
36012026,3601,2026,826,604,111,111,0.956,864,632,116,116,0.135,0.135
36012027,3601,2027,844,616,114,114,0.956,883,645,119,119,0.135,0.135
36012028,3601,2028,863,631,116,116,0.956,902,660,121,121,0.135,0.135
36012029,3601,2029,879,643,118,118,0.956,921,673,124,124,0.135,0.135
36012030,3601,2030,897,655,121,121,0.956,940,686,127,127,0.135,0.135
36012031,3601,2031,917,671,123,123,0.956,960,702,129,129,0.135,0.135
36012032,3601,2032,936,684,126,126,0.956,980,716,132,132,0.135,0.135
36012033,3601,2033,956,698,129,129,0.956,1000,730,135,135,0.135,0.135
36012034,3601,2034,975,713,131,131,0.956,1020,746,137,137,0.135,0.135
36012035,3601,2035,994,726,134,134,0.956,1040,760,140,140,0.135,0.135
36012036,3601,2036,1014,740,137,137,0.956,1060,774,143,143,0.135,0.135
36012037,3601,2037,1033,755,139,139,0.956,1080,790,145,145,0.135,0.135
36012038,3601,2038,1050,768,141,141,0.956,1100,804,148,148,0.135,0.135
36012039,3601,2039,1070,782,144,144,0.956,1120,818,151,151,0.135,0.135
36012040,3601,2040,1089,797,146,146,0.956,1140,834,153,153,0.135,0.135
36012041,3601,2041,1108,810,149,149,0.956,1160,848,156,156,0.135,0.135
36012042,3601,2042,1128,824,152,152,0.956,1180,862,159,159,0.135,0.135
36012043,3601,2043,1147,837,155,155,0.956,1200,876,162,162,0.135,0.135
36012044,3601,2044,1166,852,157,157,0.956,1220,892,164,164,0.135,0.135
36012045,3601,2045,1186,866,160,160,0.956,1240,906,167,167,0.135,0.135
36012046,3601,2046,1203,879,162,162,0.956,1260,920,170,170,0.135,0.135
36012047,3601,2047,1222,894,164,164,0.956,1280,936,172,172,0.135,0.135
36012048,3601,2048,1242,908,167,167,0.956,1300,950,175,175,0.135,0.135
36012049,3601,2049,1261,921,170,170,0.956,1320,964,178,178,0.135,0.135
36012050,3601,2050,1280,936,172,172,0.956,1340,980,180,180,0.135,0.135
36012051,3601,2051,1299,949,175,175,0.956,1359,993,183,183,0.135,0.135
36012052,3601,2052,1317,963,177,177,0.956,1378,1008,185,185,0.135,0.135
