;IPZONE	OPZONE
1533	1977
1534	1977
1535	1997
1536	1970
1537	1980
1538	1998
1539	2021
1540	2010
1541	2011
1542	2012
1543	2013
1544	1981
1545	2000
1546	1982
1547	2014
1548	2015
1549	2016
1550	1983
1551	1984
1552	2001
1553	1985
1554	1986
1555	2018
1556	2070
1557	1987
1558	2002
1559	2020
1560	1963
1561	1972
1562	1973
1563	2003
1564	1989
1565	2028
1566	2063
1567	2064
1568	2065
1569	2066
1570	2067
1571	2069
1572	2070
1573	2071
1574	2101
1575	2102
1576	2103
1577	2111
1578	2104
1579	2073
1580	2073
1581	2082
1582	2074
1583	2084
1584	2076
1585	2094
1586	2077
1587	2086
1588	2095
1589	2078
1590	2079
1591	2088
1592	2097
1593	2080
1594	2081
1595	2098
1596	2099
1597	2117
1598	2118
1599	2133
1600	2127
1601	2139
1602	2140
1603	2169
1604	2149
1605	2092
1606	2053
1607	2058
1608	2056
1609	2093
1610	2162
1611	2163
1612	2171
1613	2164
1614	2165
1615	2166
1616	2167
1617	2172
1618	2173
1619	2180
1620	2174
1621	2175
1622	2181
1623	2176
1624	2178
1625	2182
1626	2060
1627	2059
1628	2060
1629	2061
1630	2186
1631	2185
1632	1668
1633	1669
1634	1791
1635	1792
1636	1801
1637	1802
1638	1787
1639	1788
1640	1803
1641	1804
1642	1814
1643	1814
1644	1794
1645	1796
1646	1805
1647	1795
1648	1806
1649	1829
1650	1822
1651	1823
1652	1831
1653	1833
1654	1839
1655	1824
1656	1825
1657	1826
1658	1827
1659	1828
1660	1834
1661	1835
1662	1840
1663	1844
1664	1836
1665	1845
1666	1841
1667	1842
1668	1848
1669	1811
1670	1812
1671	1816
1672	1817
1673	1862
1674	1863
1675	1813
1676	1818
1677	1855
1678	1856
1679	1852
1680	1853
1681	1852
1682	1853
1683	1837
1684	1854
1685	1858
1686	1857
1687	1843
1688	1860
1689	1847
1690	1874
1691	1876
1692	1865
1693	1877
1694	1866
1695	1867
1696	1880
1697	1868
1698	1869
1699	1881
1700	1882
1701	1883
1702	1884
1703	1872
1704	1887
1705	1897
1706	1873
1707	1875
1708	1878
1709	1888
1710	1889
1711	1890
1712	1898
1713	1899
1714	1879
1715	1891
1716	1901
1717	1901
1718	1893
1719	1894
1720	1895
1721	1905
1722	1903
1723	1904
1724	1915
1725	1906
1726	2216
1727	1908
1728	1918
1729	1928
1730	1909
1731	1910
1732	1911
1733	1920
1734	1921
1735	1929
1736	1930
1737	1922
1738	1923
1739	1931
1740	1932
1741	1924
1742	1933
1743	1934
1744	1927
1745	1916
1746	1935
1747	2105
1748	2106
1749	2107
1750	2108
1751	2109
1752	2110
1753	1938
1754	2113
1755	1939
1756	1940
1757	2114
1758	1942
1759	2116
1760	2120
1761	2121
1762	2129
1763	2135
1764	2123
1765	2125
1766	2126
1767	2132
1768	2124
1769	2137
1770	2136
1771	2142
1772	2145
1773	2153
1774	2147
1775	2146
1776	2152
1777	2148
1778	2152
1779	2154
1780	2158
1781	2159
1789	2217
1790	2293
1791	2292
1792	2301
1793	2336
1794	2328
1795	2338
1796	2330
1797	2329
1798	2300
1799	2295
1800	2298
1801	2310
1802	2306
1803	2221
1804	2220
1805	2223
1806	2219
1807	2277
1808	2224
1809	2230
1810	2231
1811	2283
1812	2284
1813	2286
1814	2276
1815	2275
1816	2272
1817	2273
1818	2271
1819	2340
1820	2332
1821	2331
1822	2342
1823	2334
1824	2333
1825	2314
1826	2313
1827	2312
1828	2320
1829	2317
1830	2316
1831	2323
1832	2322
1833	2325
1834	2345
1835	2326
1836	2348
1837	2239
1838	2233
1839	2232
1840	2245
1841	2242
1842	2241
1843	2351
1844	2378
1845	2379
1846	2378
1847	2383
1848	2382
1849	2385
1850	2384
1851	2256
1852	2253
1853	2248
1854	2246
1855	2257
1856	2254
1857	2406
1858	2405
1859	2254
1860	2261
1861	2408
1862	2413
1863	2266
1864	2264
1865	2362
1866	2361
1867	2353
1868	2354
1869	2363
1870	2364
1871	2369
1872	2370
1873	2371
1874	2366
1875	2365
1876	2373
1877	2372
1878	2367
1879	2374
1880	2368
1881	2375
1882	2355
1883	2358
1884	2357
1885	2360
1886	2359
1887	2352
1888	2397
1889	2387
1890	2386
1891	2390
1892	2391
1893	2399
1894	2393
1895	2392
1896	2402
1897	2394
1898	2377
1899	2376
1900	2431
1901	2433
1902	2430
1903	2418
1904	2423
1905	2426
1906	2419
1907	2403
1908	2421
1909	2420
1910	2410
1911	2409
1912	2417
1913	2439
1914	2438
1915	2440
1916	3524
1917	2442
1918	2448
1919	2446
1920	3524
1921	2451
1922	2450
1923	2445
1924	2454
1925	2453
1926	2452
1927	2443
1928	2459
1929	2461
1930	2460
1931	2455
1932	2462
1933	2464
1934	2463
1935	2456
1936	2457
1937	2465
1938	2466
1939	2467
1940	2469
1941	2468
1942	2458
1943	2473
1944	2472
1945	2475
1946	2474
1947	2476
1948	2435
1949	2432
1950	2477
1951	2437
1952	2436
1953	2434
1954	2479
1955	2478
1956	2479
1957	2478
1958	2481
1959	2484
1960	2486
1961	2485
1962	2470
1963	2500
1964	2501
1965	2502
1966	2504
1967	2503
1968	2505
1969	2496
1970	2495
1971	2498
1972	2497
1973	2499
1974	2490
1975	2489
1976	2425
1977	2424
1978	2493
1979	2492
1980	2494
1981	2491
1982	2427
1983	2511
1984	2513
1985	2510
1986	2512
1987	2514
1988	2515
1989	2429
1990	2428
1991	2518
1992	2516
1993	2521
1994	2522
1995	2525
1996	2524
1997	2526
1998	2519
1999	2527
2000	2586
2001	2520
2002	2523
2003	2551
2004	2553
2005	2552
2006	2556
2007	2554
2008	2589
2009	2592
2010	2593
2011	2596
2012	2598
2013	2507
2014	2528
2015	2529
2016	2534
2017	2533
2018	2532
2019	2531
2020	2530
2021	2509
2022	2508
2023	2539
2024	2538
2025	2542
2026	2541
2027	2536
2028	2535
2029	2545
2030	2544
2031	2540
2032	2543
2033	2549
2034	2548
2035	2550
2036	2547
2037	2546
2038	2570
2039	2569
2040	2568
2041	2572
2042	2571
2043	2559
2044	2558
2045	2557
2046	2562
2047	2561
2048	2560
2049	2537
2050	2573
2051	2565
2052	2564
2053	2563
2054	2574
2055	2567
2056	2566
2057	2577
2058	2576
2059	2580
2060	2579
2061	2578
2062	2584
2063	2583
2064	2585
2065	2582
2066	2581
2067	2615
2068	2616
2069	2617
2070	2621
2071	2620
2072	2619
2073	2618
2074	2626
2075	2625
2076	2624
2077	2623
2078	2622
2079	2648
2080	2647
2081	2646
2082	2645
2083	2650
2084	2649
2085	2610
2086	2612
2087	2609
2088	2614
2089	2613
2090	2608
2091	2601
2092	2600
2093	2599
2094	2594
2095	2604
2096	2603
2097	2602
2098	2607
2099	2606
2100	2605
2101	2597
2102	2628
2103	2627
2104	2629
2105	2630
2106	2635
2107	2634
2108	2639
2109	2638
2110	2637
2111	2636
2112	2632
2113	2631
2114	2644
2115	2641
2116	2640
2117	2643
2118	2642
2119	2651
2120	2664
2121	2662
2122	2663
2123	2665
2124	2660
2125	2661
2126	2666
2127	2667
2128	2659
2129	2657
2130	2658
2131	2654
2132	2655
2133	2656
2134	2652
2135	2653
2136	2668
2137	2669
2138	2670
2139	2675
2140	2676
2141	2677
2142	2678
2143	2681
2144	2671
2145	2672
2146	2674
2147	2679
2148	2673
2149	2694
2150	2695
2151	2690
2152	2691
2153	2692
2154	2693
2155	2682
2156	2688
2157	2686
2158	2687
2159	2689
2160	2680
2161	2683
2162	2684
2163	2685
2164	2698
2165	2699
2166	2745
2167	2704
2168	2712
2169	2713
2170	2696
2171	2575
2172	2702
2173	2703
2174	2710
2175	2711
2176	2719
2177	2708
2178	2709
2179	2718
2180	2700
2181	2705
2182	2707
2183	2706
2184	2716
2185	2717
2186	2714
2187	2755
2188	2756
2189	2729
2190	2728
2191	2724
2192	2725
2193	2726
2194	2721
2195	2723
2196	2734
2197	2735
2198	2736
2199	2722
2200	2732
2201	2733
2202	2730
2203	2731
2204	2697
2205	2743
2206	2744
2207	2740
2208	2741
2209	2742
2210	2754
2211	2737
2212	2738
2213	2739
2214	2752
2215	2753
2216	2749
2217	2750
2218	2751
2219	2768
2220	2769
2221	2746
2222	2747
2223	2748
2224	2786
2225	2787
2226	2788
2227	2782
2228	2783
2229	2784
2230	2785
2231	2765
2232	2766
2233	2767
2234	2764
2235	2758
2236	2761
2237	2762
2238	2763
2239	2759
2240	2760
2241	2757
2242	2775
2243	2781
2244	2770
2245	2771
2246	2773
2247	2780
2248	2778
2249	2779
2250	2776
2251	2797
2252	2789
2253	2794
2254	2790
2255	2791
2256	2795
2257	2796
2258	2814
2259	2792
2260	2793
2261	2811
2262	2807
2263	2808
2264	2809
2265	2810
2266	2835
2267	2803
2268	2804
2269	2805
2270	2806
2271	2831
2272	2799
2273	2800
2274	2801
2275	2802
2276	2860
2277	2880
2278	2880
2279	2855
2280	2882
2281	2877
2282	2878
2283	2875
2284	2876
2285	2818
2286	2819
2287	2815
2288	2816
2289	2817
2290	2812
2291	2813
2292	2836
2293	2837
2294	2838
2295	2832
2296	2833
2297	2834
2298	2827
2299	2828
2300	2829
2301	2830
2302	2824
2303	2825
2304	2826
2305	2820
2306	2821
2307	2822
2308	2823
2309	2843
2310	2844
2311	2845
2312	2846
2313	2847
2314	2839
2315	2840
2316	2841
2317	2842
2318	2861
2319	2862
2320	2863
2321	2864
2322	2856
2323	2857
2324	2858
2325	2859
2326	2848
2327	2852
2328	2853
2329	2854
2330	2850
2331	2851
2332	2872
2333	2873
2334	2874
2335	2869
2336	2870
2337	2871
2338	2866
2339	2865
2340	2868
2341	2890
2342	2891
2343	2892
2344	2893
2345	2884
2346	2885
2347	2889
2348	2886
2349	2887
2350	2894
2351	2888
2352	2897
2353	2898
2354	2895
2355	2896
2356	2910
2357	2911
2358	2903
2359	2901
2360	2902
2361	2908
2362	2909
2363	2899
2364	2900
2365	2906
2366	2907
2367	2904
2368	2905
2369	2935
2370	2936
2371	2932
2372	2933
2373	2934
2374	2928
2375	2929
2376	2930
2377	2931
2378	2940
2379	2941
2380	2944
2381	2945
2382	2938
2383	2937
2384	2939
2385	2942
2386	2943
2387	2990
2388	2992
2389	2993
2390	2994
2391	2995
2392	2986
2393	2988
2394	2989
2395	2984
2396	2980
2397	2981
2398	2982
2399	2983
2400	2985
2401	2926
2402	2927
2403	2923
2404	2924
2405	2925
2406	2977
2407	2978
2408	2979
2409	2920
2410	2973
2411	2974
2412	2975
2413	2976
2414	2964
2415	2969
2416	2970
2417	2971
2418	2972
2419	2966
2420	2967
2421	2968
2422	2918
2423	2919
2424	2912
2425	2915
2426	2915
2427	2916
2428	2913
2429	2914
2430	2953
2431	2954
2432	2963
2433	2949
2434	2951
2435	2952
2436	2961
2437	2962
2438	2946
2439	2947
2440	2948
2441	2955
2442	2959
2443	2960
2444	2956
2445	2957
2446	2958
2447	3002
2448	3006
2449	3007
2450	3008
2451	3003
2452	3004
2453	3005
2454	2999
2455	3000
2456	3001
2457	2996
2458	2998
2459	2997
2460	3014
2461	3015
2462	3016
2463	3030
2464	3011
2465	3013
2466	3027
2467	3028
2468	3029
2469	3009
2470	3010
2471	3021
2472	3022
2473	3023
2474	3024
2475	3025
2476	3026
2477	3034
2478	3019
2479	3017
2480	3018
2481	3032
2482	3033
2483	3031
2484	3038
2485	3037
2486	3057
2487	3035
2488	3036
2489	3056
2490	3062
2491	3063
2492	3054
2493	3060
2494	3061
2495	3052
2496	3058
2497	3059
2498	3044
2499	3042
2500	3043
2501	3041
2502	3040
2503	3039
2504	3068
2505	3069
2506	3073
2507	3074
2508	3066
2509	3067
2510	3070
2511	3071
2512	3072
2513	3079
2514	3080
2515	3082
2516	3077
2517	3078
2518	3083
2519	3084
2520	3090
2521	3142
2522	3085
2523	3086
2524	3089
2525	3064
2526	3065
2527	3095
2528	3096
2529	3097
2530	3098
2531	3093
2532	3094
2533	3101
2534	3100
2535	3099
2536	3092
2537	3102
2538	3104
2539	3111
2540	3091
2541	3106
2542	3107
2543	3108
2544	3109
2545	3112
2546	3117
2547	3116
2548	3118
2549	3119
2550	3113
2551	3127
2552	3126
2553	3122
2554	3124
2555	3123
2556	3143
2557	3087
2558	3088
2559	3144
2560	3145
2561	3146
2562	3147
2563	3179
2564	3178
2565	3180
2566	3177
2567	3183
2568	3182
2569	3184
2570	3185
2571	3186
2572	3187
2573	3222
2574	3224
2575	3221
2576	3188
2577	3191
2578	3190
2579	3189
2580	3195
2581	3192
2582	3196
2583	3193
2584	3197
2585	3194
2586	3219
2587	3172
2588	3213
2589	3214
2590	3215
2591	3218
2592	3151
2593	3152
2594	3150
2595	3153
2596	3149
2597	3148
2598	3168
2599	3169
2600	3176
2601	3171
2602	3170
2603	3175
2604	3173
