;IPZONE	OPZONE
136	3601
137	3602
139	3603
138	3604
139	3605
140	3606
421	3607
422	3608
423	3609
2876	3610
1783	3611
1782	3612
1784	3613
1785	3614
1786	3615
1787	3615
1788	3615
2880	3616
2880	3617
2881	3618
2874	3619
2875	3620
2876	3621
2876	3622
2877	3623
2876	3624
2876	3625
2876	3626
2878	3627
2879	3628
2878	3629
1	4
2	3
3	6
4	7
5	9
6	10
7	15
8	1
9	2
10	5
11	8
12	16
13	19
14	11
15	17
16	12
17	13
18	48
19	47
20	86
21	97
22	109
23	119
24	123
25	18
26	14
27	27
28	37
29	21
30	23
31	28
32	38
33	24
34	25
35	29
36	30
37	39
38	40
39	20
40	26
41	32
42	31
43	33
44	41
45	42
46	54
47	55
48	34
49	35
50	35
51	36
52	43
53	45
54	57
55	56
56	46
57	49
58	50
59	59
60	60
61	74
62	51
63	52
64	53
65	63
66	65
67	61
68	62
69	64
70	76
71	78
72	67
73	69
74	71
75	66
76	68
77	70
78	71
79	82
80	87
81	83
82	84
83	88
84	90
85	89
86	93
87	94
88	95
89	85
90	92
91	91
92	96
93	101
94	99
95	100
96	104
97	101
98	102
99	103
100	105
101	106
102	107
103	110
104	108
105	111
106	112
107	113
108	114
109	115
110	116
111	117
112	118
113	120
114	121
115	122
116	124
117	125
118	126
119	127
120	128
121	130
122	129
123	131
124	133
125	132
126	138
127	136
128	139
129	143
130	135
131	134
132	137
133	140
134	141
135	142
141	159
142	188
143	199
144	201
145	202
146	204
147	209
148	213
149	214
150	224
151	227
152	228
153	155
154	207
155	157
156	158
157	162
158	203
159	215
160	220
161	221
162	235
163	295
164	298
165	299
166	167
167	164
168	174
169	173
170	296
171	297
172	302
173	307
174	239
175	242
176	246
177	252
178	245
179	254
180	240
181	243
182	260
183	251
184	263
185	255
186	269
187	261
188	262
189	272
190	273
191	271
192	274
193	234
194	231
195	257
196	288
197	289
198	282
199	293
200	292
201	278
202	279
203	281
204	283
205	284
206	285
207	313
208	314
209	316
210	317
211	236
212	300
213	309
214	312
215	319
216	326
217	321
218	333
219	328
220	324
221	329
222	320
223	318
224	330
225	325
226	335
227	336
228	337
229	331
230	332
231	338
232	183
233	181
234	182
235	184
236	191
237	185
238	449
239	192
240	189
241	193
242	452
243	186
244	448
245	450
246	453
247	454
248	457
249	459
250	195
251	196
252	197
253	198
254	456
255	458
256	460
257	461
258	462
259	463
260	383
261	405
262	386
263	408
264	422
265	475
266	476
267	477
268	480
269	486
270	492
271	494
272	469
273	470
274	485
275	496
276	472
277	467
278	473
279	497
280	499
281	498
282	502
283	501
284	504
285	505
286	506
287	514
288	515
289	520
290	521
291	509
292	516
293	510
294	511
295	512
296	517
297	518
298	522
299	523
300	524
301	525
302	526
303	311
304	451
305	455
306	340
307	342
308	342
309	344
310	345
311	346
312	347
313	365
314	366
315	387
316	367
317	388
318	353
319	356
320	368
321	370
322	372
323	374
324	376
325	369
326	371
327	373
328	375
329	390
330	392
331	394
332	396
333	389
334	391
335	393
336	395
337	360
338	378
339	377
340	398
341	361
342	380
343	379
344	400
345	348
346	348
347	363
348	381
349	382
350	409
351	411
352	413
353	414
354	397
355	399
356	416
357	418
358	417
359	402
360	404
361	401
362	403
363	423
364	532
365	426
366	429
367	424
368	425
369	427
370	415
371	431
372	431
373	432
374	419
375	421
376	433
377	554
378	556
379	556
380	557
381	436
382	439
383	437
384	441
385	438
386	530
387	529
388	535
389	533
390	558
391	558
392	542
393	543
394	560
395	562
396	561
397	440
398	442
399	541
400	534
401	539
402	540
403	538
404	546
405	545
406	546
407	547
408	548
409	551
410	549
411	565
412	568
413	572
414	575
415	564
416	569
417	444
418	570
419	571
420	573
424	582
425	898
426	598
427	670
428	585
429	608
430	589
431	591
432	613
433	604
434	609
435	614
436	618
437	605
438	606
439	610
440	611
441	616
442	615
443	619
444	620
445	612
446	650
447	607
448	622
449	624
450	621
451	617
452	625
453	627
454	644
455	645
456	649
457	594
458	595
459	667
460	668
461	600
462	674
463	596
464	643
465	648
466	669
467	675
468	657
469	646
470	653
471	654
472	664
473	660
474	623
475	628
476	647
477	631
478	629
479	655
480	633
481	636
482	637
483	691
484	690
485	639
486	640
487	638
488	692
489	641
490	677
491	684
492	679
493	680
494	682
495	686
496	681
497	666
498	665
499	708
500	716
501	717
502	687
503	727
504	702
505	703
506	689
507	731
508	728
509	734
510	743
511	735
512	729
513	720
514	736
515	742
516	754
517	750
518	751
519	755
520	756
521	759
522	762
523	763
524	662
525	693
526	661
527	704
528	701
529	695
530	705
531	706
532	697
533	698
534	707
535	713
536	699
537	715
538	721
539	722
540	738
541	723
542	724
543	739
544	730
545	747
546	744
547	748
548	757
549	758
550	768
551	761
552	769
553	767
554	760
555	764
556	771
557	776
558	772
559	773
560	777
561	779
562	781
563	778
564	775
565	780
566	784
567	785
568	786
569	783
570	782
571	787
572	788
573	789
574	790
575	791
576	791
577	794
578	793
579	795
580	796
581	797
582	798
583	799
584	800
585	806
586	801
587	813
588	814
589	802
590	803
591	804
592	807
593	808
594	809
595	810
596	811
597	812
598	805
599	816
600	817
601	818
602	819
603	820
604	822
605	825
606	826
607	827
608	824
609	830
610	831
611	832
612	828
613	829
614	833
615	834
616	829
617	859
618	866
619	862
620	867
621	868
622	863
623	864
624	870
625	871
626	872
627	836
628	838
629	840
630	841
631	842
632	844
633	847
634	855
635	850
636	848
637	852
638	843
639	853
640	875
641	876
642	889
643	877
644	882
645	890
646	893
647	883
648	854
649	884
650	857
651	886
652	894
653	895
654	858
655	906
656	942
657	943
658	955
659	943
660	943
661	906
662	950
663	958
664	955
665	975
666	957
667	976
668	977
669	978
670	908
671	907
672	907
673	907
674	907
675	1008
676	1009
677	1053
678	1054
679	1103
680	1170
681	1207
682	1208
683	1209
684	1302
685	1321
686	909
687	911
688	913
689	915
690	914
691	914
692	914
693	916
694	917
695	1303
696	1306
697	1310
698	1314
699	1304
700	1305
701	1309
702	1307
703	1308
704	1311
705	1312
706	1322
707	1339
708	1333
709	1338
710	1340
711	1354
712	1355
713	916
714	1401
715	1313
716	1402
717	1315
718	1316
719	1316
720	1318
721	1320
722	1319
723	1372
724	1389
725	1389
726	1373
727	1405
728	1403
729	1403
730	1404
731	1403
732	1415
733	1424
734	1425
735	1427
736	940
737	939
738	941
739	944
740	945
741	947
742	965
743	1013
744	1014
745	959
746	979
747	1015
748	951
749	952
750	966
751	953
752	961
753	962
754	967
755	982
756	980
757	984
758	1016
759	985
760	981
761	987
762	986
763	986
764	988
765	1017
766	1019
767	1019
768	1022
769	1021
770	1055
771	1011
772	1012
773	1171
774	1104
775	1172
776	1105
777	1056
778	1057
779	1058
780	1173
781	1107
782	1175
783	1177
784	1062
785	1108
786	1109
787	1064
788	1112
789	1178
790	1180
791	1182
792	1183
793	1187
794	1210
795	1211
796	1212
797	1213
798	1214
799	1215
800	1247
801	1218
802	1217
803	1248
804	1220
805	1225
806	1250
807	1252
808	1323
809	1334
810	1341
811	1356
812	1324
813	1325
814	1336
815	1337
816	1326
817	1342
818	1359
819	1344
820	1345
821	1327
822	1328
823	1329
824	1346
825	1347
826	1348
827	1349
828	1365
829	1366
830	1367
831	1368
832	1330
833	1350
834	1352
835	1351
836	1369
837	1370
838	1331
839	1353
840	1353
841	1371
842	1439
843	1440
844	1441
845	1469
846	1470
847	1357
848	1358
849	1375
850	1376
851	1377
852	1363
853	1364
854	1378
855	1379
856	1380
857	1390
858	1391
859	1392
860	1381
861	1382
862	1393
863	1394
864	1383
865	1396
866	1384
867	1395
868	1397
869	1385
870	1386
871	1398
872	1399
873	1400
874	1388
875	1479
876	1480
877	1532
878	1406
879	1407
880	1408
881	1417
882	1416
883	1409
884	1418
885	1410
886	1419
887	1420
888	1412
889	1413
890	1422
891	1414
892	1423
893	1573
894	1574
895	1575
896	1579
897	1580
898	1581
899	1578
900	1590
901	1582
902	1615
903	1617
904	1626
905	1632
906	1428
907	1426
908	1557
909	1564
910	1558
911	1559
912	1560
913	1583
914	1584
915	1595
916	1585
917	1596
918	1597
919	1586
920	1587
921	1588
922	1589
923	1603
924	1604
925	1598
926	1591
927	1605
928	1638
929	1631
930	1639
931	1648
932	1640
933	1433
934	1563
935	1570
936	1567
937	1571
938	1606
939	1600
940	1601
941	1602
942	1607
943	1614
944	1025
945	1024
946	1026
947	1023
948	1065
949	1027
950	1029
951	1031
952	1028
953	1030
954	1032
955	1067
956	1070
957	1073
958	1066
959	1069
960	1072
961	1075
962	1068
963	1071
964	1074
965	1033
966	1035
967	1039
968	1034
969	1036
970	1037
971	1078
972	1081
973	1084
974	1077
975	1080
976	1083
977	1076
978	1079
979	1082
980	1135
981	1139
982	1143
983	1040
984	1041
985	1087
986	1090
987	1086
988	1089
989	1085
990	1088
991	1114
992	1115
993	1119
994	1123
995	1127
996	1131
997	1118
998	1122
999	1126
1000	1130
1001	1134
1002	1138
1003	1117
1004	1121
1005	1125
1006	1129
1007	1133
1008	1137
1009	1116
1010	1120
1011	1124
1012	1128
1013	1132
1014	1136
1015	1147
1016	1151
1017	1142
1018	1146
1019	1150
1020	1141
1021	1145
1022	1149
1023	1140
1024	1144
1025	1148
1026	949
1027	963
1028	972
1029	946
1030	2202
1031	964
1032	974
1033	2202
1034	990
1035	992
1036	991
1037	993
1038	994
1039	971
1040	996
1041	997
1042	999
1043	995
1044	998
1045	1000
1046	1002
1047	974
1048	1000
1049	1002
1050	1004
1051	973
1052	1001
1053	1043
1054	1003
1055	1005
1056	1006
1057	1045
1058	1047
1059	1049
1060	1042
1061	1044
1062	1093
1063	1096
1064	1092
1065	1095
1066	1091
1067	1094
1068	1099
1069	1098
1070	1097
1071	1048
1072	1050
1073	1100
1074	1101
1075	1051
1076	1007
1077	1169
1078	1155
1079	1158
1080	1154
1081	1157
1082	1153
1083	1152
1084	1156
1085	1161
1086	1160
1087	1159
1088	1162
1089	1163
1090	1164
1091	1165
1092	1166
1093	1167
1094	1168
1095	1186
1096	1190
1097	1188
1098	1189
1099	1191
1100	1192
1101	1192
1102	1193
1103	1194
1104	1195
1105	1196
1106	1197
1107	1198
1108	1199
1109	1237
1110	1200
1111	1202
1112	1239
1113	1201
1114	1203
1115	1204
1116	1205
1117	1206
1118	1245
1119	1245
1120	1270
1121	1226
1122	1227
1123	1228
1124	1229
1125	1230
1126	1231
1127	1232
1128	1233
1129	1234
1130	1235
1131	1236
1132	1238
1133	1240
1134	1241
1135	1242
1136	1243
1137	1253
1138	1254
1139	1442
1140	1443
1141	1255
1142	1256
1143	1257
1144	1445
1145	1258
1146	1259
1147	1260
1148	1261
1149	1262
1150	1263
1151	1274
1152	1276
1153	1264
1154	1265
1155	1266
1156	1267
1157	1268
1158	1269
1159	1280
1160	1293
1161	1281
1162	1281
1163	1449
1164	1451
1165	1453
1166	1451
1167	1453
1168	1455
1169	1446
1170	1447
1171	1458
1172	1460
1173	1271
1174	1283
1175	1272
1176	1273
1177	1275
1178	1285
1179	1287
1180	1288
1181	1277
1182	1278
1183	1292
1184	1448
1185	1450
1186	1452
1187	1454
1188	1456
1189	1462
1190	1463
1191	1464
1192	1466
1193	1457
1194	1459
1195	1467
1196	1468
1197	1282
1198	1294
1199	1471
1200	1472
1201	1473
1202	1475
1203	1481
1204	1482
1205	1484
1206	1491
1207	1492
1208	1494
1209	1533
1210	1534
1211	1534
1212	1476
1213	1477
1214	1478
1215	1478
1216	1495
1217	1486
1218	1487
1219	1536
1220	1538
1221	1536
1222	1537
1223	1539
1224	1625
1225	1616
1226	1619
1227	1619
1228	1618
1229	1620
1230	1627
1231	1628
1232	1627
1233	1633
1234	1634
1235	1623
1236	1622
1237	1624
1238	1629
1239	1630
1240	1637
1241	1646
1242	1647
1243	1641
1244	1643
1245	1657
1246	1659
1247	1635
1248	1644
1249	1644
1250	1645
1251	1649
1252	1650
1253	1651
1254	1660
1255	1662
1256	1661
1257	1663
1258	1652
1259	1664
1260	1653
1261	1665
1262	1670
1263	1284
1264	1286
1265	1289
1266	1290
1267	1291
1268	1300
1269	1498
1270	1295
1271	1296
1272	1297
1273	1505
1274	1301
1275	1507
1276	1298
1277	1299
1278	1499
1279	1500
1280	1508
1281	1509
1282	1510
1283	1511
1284	1501
1285	1512
1286	1502
1287	1504
1288	1531
1289	1554
1290	1513
1291	1514
1292	1515
1293	1525
1294	1517
1295	1527
1296	1519
1297	1528
1298	1520
1299	1521
1300	1529
1301	1530
1302	1541
1303	1543
1304	1550
1305	1548
1306	1549
1307	1546
1308	1553
1309	1551
1310	1671
1311	1674
1312	1672
1313	1673
1314	1676
1315	1678
1316	1679
1317	1675
1318	1677
1319	1682
1320	1684
1321	1686
1322	1690
1323	1685
1324	1680
1325	1681
1326	1692
1327	1687
1328	1556
1329	1683
1330	1689
1331	1688
1332	1696
1333	1691
1334	1694
1335	1697
1336	1693
1337	1699
1338	1695
1339	918
1340	919
1341	920
1342	1401
1343	1401
1344	921
1345	1429
1346	921
1347	1434
1348	1431
1349	1432
1350	1435
1351	923
1352	1728
1353	923
1354	1714
1355	1728
1356	1729
1357	1746
1358	1747
1359	925
1360	1728
1361	1766
1362	1755
1363	1768
1364	1756
1365	924
1366	926
1367	928
1368	1783
1369	927
1370	927
1371	927
1372	929
1373	1767
1374	1769
1375	1964
1376	1991
1377	1993
1378	1974
1379	1992
1380	1993
1381	1992
1382	2004
1383	1974
1384	1994
1385	2006
1386	2007
1387	2008
1388	928
1389	929
1390	929
1391	931
1392	929
1393	931
1394	931
1395	2022
1396	2023
1397	2024
1398	2029
1399	924
1400	924
1401	934
1402	932
1403	2036
1404	2044
1405	2048
1406	2030
1407	2031
1408	2032
1409	2037
1410	2038
1411	2033
1412	2042
1413	2090
1414	2050
1415	2051
1416	2057
1417	938
1418	2048
1419	937
1420	1438
1421	1437
1422	1701
1423	1705
1424	1730
1425	1730
1426	1718
1427	1719
1428	1720
1429	1702
1430	1706
1431	1707
1432	1721
1433	1609
1434	1709
1435	1611
1436	1722
1437	1723
1438	1724
1439	1711
1440	1725
1441	1613
1442	1654
1443	1713
1444	1726
1445	1727
1446	1655
1447	1666
1448	1667
1449	1789
1450	1790
1451	1797
1452	1809
1453	1786
1454	1800
1455	1748
1456	1735
1457	1749
1458	1750
1459	1737
1460	1738
1461	1738
1462	1774
1463	1740
1464	1741
1465	1760
1466	1760
1467	1761
1468	1742
1469	1743
1470	1752
1471	1753
1472	1762
1473	1763
1474	1744
1475	1754
1476	1745
1477	1764
1478	1765
1479	1815
1480	1861
1481	1770
1482	1782
1483	1771
1484	1944
1485	1785
1486	1772
1487	1773
1488	1775
1489	1945
1490	1946
1491	1954
1492	1955
1493	1776
1494	1776
1495	1777
1496	1947
1497	1948
1498	1956
1499	1957
1500	1778
1501	1779
1502	1949
1503	1950
1504	1951
1505	1958
1506	1959
1507	1960
1508	1780
1509	1781
1510	1952
1511	1961
1512	1962
1513	1870
1514	1885
1515	1871
1516	1886
1517	1966
1518	1967
1519	1966
1520	1967
1521	1995
1522	1995
1523	2009
1524	2009
1525	1975
1526	1976
1527	1975
1528	1975
1529	1976
1530	1996
1531	1996
1532	1968
